"number"	"Programme"	"Priority"	"Approved.Intervention.Rate"	"Grant.Award"	"total.actual.spend"	"Absorption.Capacity.2"	"Degree.Centrality"	"Eigenfactor"	"Betweenness.Centrality"	"Cohesive.Subgroup"	"LADC"	"ProjDC"	"BTC"	"EVC"	"Kcore"	"New.Type.Organisation"	"Type.Expenditure"	"Percentage.achieved"
"29"	29	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	92000	229694.85	0	8	0.001461543	0.002523554	4	7	50	0.004009198	0.005356898	21	"Government Department/Agencies"	"Revenue"	73
"30"	30	"H&I ERDF"	"Priority 1: Business Competitiveness, Commercialisation and Innovation"	40	1190000	2975000	99.03742857	5	0.001249689	0.000697444	2	6	69	0.004990464	0.006276305	26	"Local Authority"	"Capital"	99.08883827
"31"	31	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	40.00000236	3386667	8466666	73.60096612	10	0.000882723	0.003802995	0	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	100
"32"	32	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	44.94848787	270500	467132.47	74.65708541	4	0.001407406	0.001109298	2	1	28	0.000613854	0.00735686	19	"Voluntary Sector"	"Capital"	33.33333333
"33"	33	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	41.82130093	5e+05	1195563	100	7	0.01185083	0.002766362	7	1	11	0.00018007	0.001287726	8	"Voluntary Sector"	"Capital"	100
"34"	34	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	39.99997711	1104472.28	2761182.28	52.78487228	4	0.000426567	0.001562048	2	6	69	0.004990464	0.006276305	26	"Local Authority"	"Capital"	0
"35"	35	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	40.31543163	962568.48	2346187.54	98.26580169	20	0.015700097	0.009426364	2	1	19	1e-05	0.001340062	19	"Voluntary Sector"	"Capital"	133.3333333
"36"	36	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	22.43001709	250000	1114577.84	88.87732058	4	0.013704737	0.00180119	2	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	100
"37"	37	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	30.58413126	875090.78	2819647.98	98.54575764	14	0.029691658	0.008929628	0	1	18	7.14e-05	0.003458221	13	"Voluntary Sector"	"Capital"	101.25
"38"	38	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	24.99999917	299999.99	1064536.83	79.13741167	8	0.000279067	0.003218447	0	4	37	0.006919743	0.002662564	17	"Local Authority"	"Capital"	20
"39"	39	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	22.1067422	5e+05	2261753.43	80.7136846	1	0.00093796	0	6	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	0
"40"	40	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	40.00002687	17865.38	44663.42	83.62917573	3	0.004095912	0.001508858	4	4	37	0.006919743	0.002662564	17	"Local Authority"	"Revenue"	20
"41"	41	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	39.9999995	320452.94	801132.36	98.77316777	7	0.011696343	0.003113815	3	6	69	0.004990464	0.006276305	26	"Local Authority"	"Capital"	0
"42"	42	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	25.00043573	28688	115465.75	100.6237473	16	0.000262132	0.006359073	2	1	14	1	2.24e-05	14	"Local Authority"	"Capital"	0
"43"	43	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	44.9758007	432951	284572.4	29.56194014	7	0.00377468	0.002224826	3	12	119	0.022037319	0.01403185	22	"Local Authority"	"Revenue"	0
"44"	44	"H&I ERDF"	"Priority 2: Key Drivers for Sustainable Growth (ERDF)"	36.35999838	1654652.31	4562033.34	94.64349551	11	0.007052213	0.003967957	4	8	160	0.01456742	0.058300591	26	"Government Department/Agencies"	"Revenue"	2.51572327
"45"	45	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	36.60903753	54583.2	149097.61	100	4	2.65e-22	8.22e-07	0	1	3	5.38e-05	6.63e-05	3	"Economic and Social Development Body"	"Capital"	100
"46"	46	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	18.86792453	5e+05	2650000	95.73200075	6	0.000985233	0.00204233	2	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	100
"47"	47	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	24.81203008	148500	598499	75.70153551	2	0.003010813	1.62e-05	1	5	82	0.006388513	0.031137274	26	"Local Authority"	"Capital"	100
"48"	48	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	22.83939136	25173.23	110218.48	64.05459411	4	0.003045564	0.001057672	1	5	82	0.006388513	0.031137274	26	"Local Authority"	"Capital"	100
"49"	49	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	39.76486263	172789.51	434528.12	96.95832113	8	0.000627444	0.00317142	1	1	7	1e-05	5.36e-05	7	"Voluntary Sector"	"Capital"	100
"50"	50	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	24.99999848	369158.26	1476633.13	63.76166909	5	0.029736309	0.00190463	0	1	4	1e-05	0.002538263	4	"Government Department/Agencies"	"Capital"	100
"51"	51	"H&I ERDF"	"Priority 3: Enhancing Peripheral and Fragile Communities"	25	71550	60231.99	0	3	0.000180027	0.001041503	4	4	37	0.006919743	0.002662564	17	"Local Authority"	"Capital"	0
"52"	52	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	34265	71636.31	61.19305414	7	0.004512698	0.00236559	4	2	27	0.001473234	0.001469169	15	"Voluntary Sector"	"Revenue"	163.6842105
"53"	53	"H&I ESF"	"Priority 1: Increasing the Workforce"	42.79790066	95979	223466.39	41.32492943	4	0.000659889	0.001065332	3	2	4	0.001727585	0.004984515	26	"Economic and Social Development Body"	"Capital"	56.54320988
"54"	54	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	323988	647976	92.88162679	4	0.002060241	0.000138297	3	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	121.9178082
"55"	55	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	22570	37479.91	2.423571112	7	0.002415285	0.001833081	7	5	146	0.017236753	0.016761934	28	"Voluntary Sector"	"Capital"	75.21367521
"56"	56	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00069943	30739.86	62190.91	0	5	0.010294215	0.002358623	12	1	27	0.001083204	0.006363681	14	"Voluntary Sector"	"Capital"	80
"57"	57	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.37883161	100404	226243	100	7	0.026531167	0.006905991	8	12	119	0.022037319	0.01403185	22	"Local Authority"	"Revenue"	87.12871287
"58"	58	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.14987353	170362	363718.71	13.94248876	3	0.003117616	0.00010285	4	2	58	0.000354927	0.00959322	36	"Voluntary Sector"	"Capital"	140.3726708
"59"	59	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99817751	13717	23283	0	15	0.007081197	0.005866613	14	9	226	0.039839478	0.041399109	29	"Voluntary Sector"	"Capital"	88.50574713
"60"	60	"H&I ESF"	"Priority 1: Increasing the Workforce"	43.13660251	208735	430664.4	68.76375562	5	0.00085307	0.001667532	6	2	6	0.004118084	0.007135924	22	"Voluntary Sector"	"Capital"	110.9756098
"61"	61	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99944664	67315.51	126256.33	0	9	0.003165852	0.003331451	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	80.8
"62"	62	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	62461	89556	0	4	0.001419918	8.06e-05	1	9	191	0.008410047	0.013876805	25	"Voluntary Sector"	"Capital"	85.13513514
"63"	63	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	279292	496608.78	9.657847343	16	0.011133774	0.008314693	7	9	191	0.008410047	0.013876805	25	"Voluntary Sector"	"Capital"	161.9354839
"64"	64	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	22864	42878.91	41.79633922	8	0.000432366	0.002407785	1	2	10	0.00011844	0.000135906	7	"Voluntary Sector"	"Capital"	106.2176166
"65"	65	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	53787	75851.27	70.51078327	15	0.01310858	0.007925912	7	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	83.69369369
"66"	66	"H&I ESF"	"Priority 1: Increasing the Workforce"	31.15368846	62308	200002	85.81403186	9	0.001080597	0.003220992	1	2	10	6.49e-05	9.93e-05	8	"Economic and Social Development Body"	"Capital"	87.84530387
"67"	67	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	37500	71401	0	4	0.001647172	0.001086917	2	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	41.6988417
"68"	68	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.99975639	92360.65	154646.68	75.34662139	3	0.001737797	0.000611149	3	4	126	0.01123909	0.016947436	26	"Voluntary Sector"	"Capital"	137.037037
"69"	69	"H&I ESF"	"Priority 1: Increasing the Workforce"	47.22510114	212793	431033.52	0	15	0.002652361	0.004560161	6	2	31	0.000296226	0.002550106	14	"Government Department/Agencies"	"Capital"	81.49717514
"70"	70	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	25900	56934.02	0	5	0.01029541	0.002174388	12	5	37	0.002926885	0.003448419	10	"Further Education"	"Capital"	82.00455581
"71"	71	"H&I ESF"	"Priority 1: Increasing the Workforce"	47.01965878	74576	100639	0	8	0.002582211	0.00222168	4	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	63.73626374
"72"	72	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99941385	85302	169518.21	0	3	0.001715986	0.000156584	4	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	94.04761905
"73"	73	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99978889	118423	275593.83	0	5	0.016375859	0.005435124	8	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	167.8571429
"74"	74	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	32500	51334.88	0	8	0.019058503	0.004784972	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	44.86166008
"75"	75	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	318947	654120.37	102.5437408	15	0.020318911	0.007434301	5	1	21	0.002233965	0.009686406	22	"Voluntary Sector"	"Capital"	220.9782609
"76"	76	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.82966769	49220.5	115588.92	28.2357968	5	0.001521202	0.001298788	1	2	8	2.76e-05	0.006436964	29	"Further Education"	"Capital"	102.2727273
"77"	77	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	37500	32123.43	13.90154667	12	0.016629712	0.004430629	3	2	27	3.64e-05	0.00256054	19	"Further Education"	"Capital"	49.60725076
"78"	78	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	48361	53487.72	38.07234135	4	0.000342248	0.001562048	0	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	45.76576577
"79"	79	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.99998202	69530.43	123282.14	88.65333903	14	0.013086963	0.007201076	5	2	21	0.000475233	0.001430686	12	"Voluntary Sector"	"Capital"	67.9245283
"80"	80	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.99942299	43326	137304.48	0	8	0.012147871	0.002455618	3	3	43	0.000817052	0.003638643	18	"Government Department/Agencies"	"Capital"	123.3809001
"81"	81	"H&I ESF"	"Priority 2: Investing in the Workforce"	50.00000344	72764.71	149873.2	27.26870685	4	0.001662429	0.001939259	3	3	10	0.000549327	0.00047215	7	"Economic and Social Development Body"	"Capital"	69.25531915
"82"	82	"H&I ESF"	"Priority 2: Investing in the Workforce"	44.89966281	27431	64951.44	19.03468426	11	5.32e-05	0.003129799	3	3	12	1.75e-05	1.1e-05	10	"Economic and Social Development Body"	"Capital"	92.21789883
"83"	83	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	57500	114336.16	10.4498087	7	0.017990372	0.002237918	2	2	24	0.000457651	0.004283108	14	"Economic and Social Development Body"	"Capital"	173.8461538
"84"	84	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	65740	133000	0	22	0.054521862	0.014415983	3	9	191	0.008410047	0.013876805	25	"Voluntary Sector"	"Capital"	238.8607595
"85"	85	"H&I ESF"	"Priority 2: Investing in the Workforce"	47.33226837	44445	93003.78	0	10	0.009534758	0.004338527	2	5	37	0.002926885	0.003448419	10	"Further Education"	"Capital"	134.8314607
"86"	86	"H&I ESF"	"Priority 2: Investing in the Workforce"	45.00352446	490326	1046291.73	54.99575412	11	0.002116462	0.004942101	1	4	173	0.017601264	0.029707023	29	"Government Department/Agencies"	"Capital"	65.35947712
"87"	87	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	13533.5	21114.89	35.9168563	7	0.001047247	0.002333231	3	2	8	2.76e-05	0.006436964	29	"Further Education"	"Capital"	68.46846847
"88"	88	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	38.77955323	73963.92	190729.17	75.18671108	24	0.026247596	0.019207229	5	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	86.01398601
"89"	89	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	49.9999999	2442496.48	4640550.04	58.62296158	10	0.024131459	0.002937081	5	4	155	0.014086241	0.036456505	27	"Higher Education"	"Capital"	42.72
"90"	90	"H&I ESF"	"Priority 1: Increasing the Workforce"	47.10301415	41006	85044.18	93.93189441	7	0.003114757	0.002637128	14	2	10	0.000269059	0.000292897	6	"Voluntary Sector"	"Capital"	92.94117647
"91"	91	"H&I ESF"	"Priority 1: Increasing the Workforce"	40.75762534	36119	46729.38	26.20249608	18	0.018134612	0.013562528	8	4	37	0.006919743	0.002662564	17	"Local Authority"	"Capital"	96.66666667
"92"	92	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00004647	129116.24	253992.09	24.02865343	5	0.002926082	0.000882476	2	4	52	0.002010033	0.011791088	20	"Further Education"	"Capital"	28.03889789
"93"	93	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	60000	72039.94	38.87995	9	0.034520477	0.007325734	4	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	164.9253731
"94"	94	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.20549839	167992	278801.98	9.969084002	13	0.015103023	0.007200939	2	2	35	0.000494551	0.002764478	15	"Economic and Social Development Body"	"Capital"	91.6
"95"	95	"H&I ESF"	"Priority 2: Investing in the Workforce"	44.99995687	104345	231870.91	68.83623716	14	0.005264792	0.001263808	1	4	53	0.000295074	0.005490667	28	"Voluntary Sector"	"Capital"	54.89089541
"96"	96	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50	47154	54075.55	51.38769776	10	0.00237351	0.002923374	2	1	23	0.001309544	0.002966807	11	"Higher Education"	"Capital"	89.10891089
"97"	97	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	45	99693	222100.11	87.02126478	18	0.010300857	0.005166168	6	4	53	0.000295074	0.005490667	28	"Voluntary Sector"	"Capital"	68.23751178
"98"	98	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	74978	149956	71.88263891	3	0.002874463	0.000743609	5	5	146	0.017236753	0.016761934	28	"Voluntary Sector"	"Revenue"	67.5
"99"	99	"H&I ESF"	"Priority 1: Increasing the Workforce"	59.83831809	129533.18	215782.05	80.31796358	5	0.001443731	0.000356805	3	2	27	0.001473234	0.001469169	15	"Voluntary Sector"	"Capital"	79.88505747
"100"	100	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.0001552	74100.23	64578.78	43.5754251	5	0.001160075	0.001839247	5	2	10	0.00011844	0.000135906	7	"Voluntary Sector"	"Capital"	59.33391762
"101"	101	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.97148375	49943	72685.17	17.67468457	5	0.002032086	0.00089778	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	100.4444444
"102"	102	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	33000	52264.69	0	8	0.012881596	0.004286681	14	13	81	0.011882526	0.013463571	25	"Local Authority"	"Capital"	70.20648968
"103"	103	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.99999783	114943.89	229887.79	51.82163872	4	0.004815612	0.001222106	1	5	37	0.002926885	0.003448419	10	"Further Education"	"Capital"	96.1130742
"104"	104	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00000299	83728.75	155297.51	62.71315186	3	0.000812523	0.000119032	7	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	62.16216216
"105"	105	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00000207	120804.57	240517.99	95.00773833	6	0.001262322	0.001138441	7	8	46	0.008545444	0.008657027	26	"Further Education"	"Capital"	83.67346939
"106"	106	"H&I ESF"	"Priority 1: Increasing the Workforce"	50	122448	224124.92	91.51840781	4	0.000973787	0.00098434	4	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	89.3081761
"107"	107	"H&I ESF"	"Priority 1: Increasing the Workforce"	50.00010191	245316	370215.32	51.21556119	3	0.001952579	0.000524816	4	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	47.97297297
"108"	108	"H&I ESF"	"Priority 1: Increasing the Workforce"	49.89295419	156962.72	291085.84	26.55778562	5	0.010407682	0.001891539	12	2	4	0.001727585	0.004984515	26	"Economic and Social Development Body"	"Capital"	90.38461538
"109"	109	"H&I ESF"	"Priority 1: Increasing the Workforce"	53.67178742	563414.86	1043094.95	84.10531838	3	0.001963117	3.34e-05	4	2	58	0.000354927	0.00959322	36	"Voluntary Sector"	"Revenue"	141.5384615
"110"	110	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.85371194	436559.9	655775.72	67.37672251	14	0.005014384	0.005332866	4	4	126	0.01123909	0.016947436	26	"Voluntary Sector"	"Capital"	82.88288288
"111"	111	"H&I ESF"	"Priority 1: Increasing the Workforce"	44.76012073	521240.07	1162382.6	91.83950306	10	0.030664357	0.005282266	8	2	6	0.004118084	0.007135924	22	"Voluntary Sector"	"Capital"	122.3529412
"112"	112	"H&I ESF"	"Priority 1: Increasing the Workforce"	46.96643047	563027.12	1141871.58	71.2864015	6	0.008246867	0.001617105	6	2	31	0.000296226	0.002550106	14	"Government Department/Agencies"	"Capital"	50.20785219
"113"	113	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.99968628	79689	246536.94	81.27389324	5	0.005005482	0.00154616	3	3	43	0.000817052	0.003638643	18	"Government Department/Agencies"	"Capital"	52.95387105
"114"	114	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.99999576	58970.28	87235.62	35.41327636	7	0.000417704	0.001293086	2	2	21	0.000475233	0.001430686	12	"Voluntary Sector"	"Capital"	86.51685393
"115"	115	"H&I ESF"	"Priority 2: Investing in the Workforce"	44.5833807	98050	206426.27	75.05354207	7	2.03e-05	0.000383564	3	3	12	1.75e-05	1.1e-05	10	"Economic and Social Development Body"	"Capital"	58.65921788
"116"	116	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	28590.5	52644.49	32.42648782	7	0.001339983	0.001336312	2	5	37	0.002926885	0.003448419	10	"Further Education"	"Capital"	70.38167939
"117"	117	"H&I ESF"	"Priority 2: Investing in the Workforce"	49.57821598	127672.27	242065.22	43.16371269	3	5.6e-05	0.000285564	3	3	10	0.000549327	0.00047215	7	"Economic and Social Development Body"	"Capital"	55.40069686
"118"	118	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	82000	183733.04	58.79637805	7	0.003518561	0.002604123	4	12	119	0.022037319	0.01403185	22	"Local Authority"	"Capital"	107.2222222
"119"	119	"H&I ESF"	"Priority 2: Investing in the Workforce"	50	93750	140792.52	53.230736	8	0.00100651	0.002881709	2	7	135	0.014847087	0.012571712	29	"Local Authority"	"Capital"	100.8641975
"120"	120	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	49.99926807	34156	68006.54	38.95069752	4	0.027535154	0.002019653	2	4	52	0.002010033	0.011791088	20	"Further Education"	"Capital"	95.23809524
"121"	121	"H&I ESF"	"Priority 3: Improving Access to Lifelong Learning"	50.00003165	78980.1	157718.01	99.84673978	8	0.017916195	0.004390052	5	5	37	0.002926885	0.003448419	10	"Further Education"	"Capital"	0.386100386
